      tokens,        wires,    subscribers,  subscriptions,                       username,     verified
           1,            1,             43,             27,             Nathanofwashington,            0
           1,            1,             42,             27,                 unfuckwithable,            0
           1,            1,             38,             12,                           seba,            0
           1,            1,             35,             30,                     Khalessi17,            0
           1,            1,             34,             52,                 olexiykarpenko,            0
           1,            1,             26,              2,                     ShinyPearl,            0
           1,            1,             23,             13,                      ymorin007,            0
           1,            1,             21,              8,                      insomnist,            0
           0,            3,           1126,            767,                  Westernshield,            0
           0,            3,            487,            118,                    tantruong85,            0
           0,            3,            118,             32,                   BlackPhoenix,            0
           0,            2,           2156,          13191,                  tiendat_dalat,            0
           0,            2,           1744,           2377,                   Hoangyen6819,            0
           0,            2,           1475,           5103,                     BadBoy1606,            0
           0,            2,           1141,           1374,                     tkhalmedia,            0
           0,            2,           1085,            912,                     vantinhkts,            0
           0,            2,            989,            854,             dinhbaochaucomback,            0
           0,            2,            938,           2497,                    Hoangvugdtd,            0
           0,            2,            806,           2203,                    Trichung112,            0
           0,            2,            671,            166,                   VuLePhuong44,            0
           0,            2,            622,            180,                Stephenmorrisnc,            0
           0,            1,           4760,         117054,                        Jenni02,            0
           0,            1,           4097,           7480,                       Ngoclinh,            0
           0,            1,           2259,           9434,                   Tranchau1976,            0
           0,            1,           2055,           9013,                  davidtran1011,            0
           0,            1,           1978,          11047,                      ThuThuy98,            0
           0,            1,           1935,           7128,                   JamestheJust,            0
           0,            1,           1795,           1032,                     SeekGnosis,            0
           0,            1,           1708,           3995,                     Daphnee202,            1
           0,            1,           1647,           1365,                 BramMichaelson,            0
           0,            1,           1606,           3660,                  ivanzabolotin,            0
           0,            1,           1505,           5707,                     DongQuan18,            0
           0,            1,           1503,           3329,                        giglbox,            1
           0,            1,           1467,          13352,                   HuongGiangLy,            0
           0,            1,           1442,           4920,                      AntonBang,            0
           0,            1,           1326,            656,                   dungha191211,            0
           0,            1,           1311,           8009,                     Ngocly2019,            0
           0,            1,           1299,            809,                Joey_Vaudeville,            0
           0,            1,           1263,           3804,                  DamPhuongLoan,            0
           0,            1,           1254,            488,                           c13r,            0
           0,            1,           1237,           1301,                EXTRACASHONLINE,            0
           0,            1,           1234,          11399,                   NgoThanhTruc,            0
           0,            1,           1222,           1766,                      TomJery18,            0
           0,            1,           1204,           1199,                        thuc123,            0
           0,            1,           1197,           1216,                    tuanlinh368,            0
           0,            1,           1178,           3314,                    LanThanhLan,            0
           0,            1,           1153,           1408,                         Bla246,            0
           0,            1,           1125,            576,                        Haithao,            0
           0,            1,            994,           1410,                        hanynhu,            0
           0,            1,            948,           2132,                         Stohik,            0
           0,            1,            923,            390,                         Pashta,            1
           0,            1,            855,           1409,                    hoanglien89,            0
           0,            1,            837,           3000,                      NgocHa078,            0
           0,            1,            811,           3145,                          Tubon,            0
           0,            1,            805,           2012,                       maikonai,            0
           0,            1,            792,           1921,                      mindsvina,            0
           0,            1,            724,            973,                      momomo123,            0
           0,            1,            709,            571,                        Monkey8,            0
           0,            1,            705,           1023,                SteveJacksonVIC,            0
           0,            1,            702,           2588,                     Haquynhlam,            0
           0,            1,            691,           1336,                         sanks7,            0
           0,            1,            682,            160,                      AmyNguyen,            0
           0,            1,            672,           4110,                   Emyli_Truong,            0
           0,            1,            599,            133,                       thuvan83,            0
           0,            1,            573,            593,                      ThuAn5351,            0
           0,            1,            566,            243,                     Budda420DK,            0
           0,            1,            551,             45,                        akashas,            0
           0,            1,            534,             67,                     Crunchyboy,            0
           0,            1,            528,           2001,                    lamphuongvi,            0
           0,            1,            507,           1931,                       giatuong,            0
           0,            1,            500,           3625,               jessminhhuong102,            0
           0,            1,            498,           3583,                    hoangyenbui,            0
           0,            1,            475,              9,                       AmpersUK,            1
           0,            1,            457,            843,                   DuyenLanh226,            0
           0,            1,            432,            864,                   Duyenphan002,            0
           0,            1,            431,            191,                  HectorHall333,            0
           0,            1,            420,            863,                         hungsc,            0
           0,            1,            419,            854,                     Boimantran,            0
           0,            1,            399,            857,                    PhuongNhi89,            0
           0,            1,            393,             44,                   Vangtran5000,            0
           0,            1,            368,            857,                       monan123,            0
           0,            1,            364,            235,                   aertdegelder,            0
           0,            1,            362,           2891,                       Lamyurry,            0
           0,            1,            361,            565,             Buithilethu1701993,            0
           0,            1,            331,             41,                       rupertly,            0
           0,            1,            325,              3,               jaimeabreganaiii,            0
           0,            1,            304,           2475,                   xuanngoctran,            0
           0,            1,            304,             30,                      Agisallen,            0
           0,            1,            290,            218,                   Minhdatanmai,            0
           0,            1,            286,            163,                   Karraptathid,            0
           0,            1,            282,            250,                   UVBNWarrened,            0
           0,            1,            280,           1816,                        tieuyet,            0
           0,            1,            279,            131,                    enigmos6868,            0
           0,            1,            279,             77,                  dungbuitruong,            0
           0,            1,            277,           1033,                    PrincessKim,            0
           0,            1,            267,             76,                     lalascott7,            0
           0,            1,            256,            301,                       Shine112,            0
           0,            1,            252,             40,              777AllenCarter777,            0
           0,            1,            225,             11,                           Veon,            0
           0,            1,            219,             81,                          rdlln,            0
           0,            1,            208,            262,             Vivianphuongdotran,            0
           0,            1,            203,             47,                   MsNegativity,            0
           0,            1,            184,             74,                          Tan01,            0
           0,            1,            177,             65,                    Venomous911,            0
           0,            1,            160,             68,                  Tranvuthesang,            0
           0,            1,            155,             43,                SuzanneFirebird,            0
           0,            1,            154,             16,                 JParkerRenshaw,            0
           0,            1,            112,            118,                     briansweet,            0
           0,            1,            102,             19,                       mwatland,            0
           0,            1,             95,             16,                    BigBomber56,            0
           0,            1,             92,             19,                    ese_cholito,            0
           0,            1,             58,              5,                  DapperDan2012,            0
           0,            1,             55,             21,                          Hxeon,            0
           0,            1,             53,             79,                      ZakNgatia,            0
           0,            1,             41,              3,                         Contex,            0
           0,            1,             28,              9,               The_Rubber_Kitty,            0
           0,            0,           5450,          43161,                    Lamnguyen79,            0
           0,            0,           5442,          25703,                HIENTINHDATNUOC,            1
           0,            0,           4630,          15568,                 CongHoaThoiBao,            1
           0,            0,           3553,          46451,                     BlackCrime,            0
           0,            0,           2633,            210,                     nxuanchinh,            1
           0,            0,           2421,             19,                   BBCTiengViet,            0
           0,            0,           2296,            234,                     Jadenguyen,            1
           0,            0,           2259,          11012,                       Zippo102,            0
           0,            0,           2224,          11974,                     LeDieuNgoc,            0
           0,            0,           2209,            123,                         Keyvan,            0
           0,            0,           2138,           5398,                DrTonyTrpkovski,            0
           0,            0,           2118,           1997,                       MarkSalo,            0
           0,            0,           2089,           5342,                 VuAnhKhoaMusic,            0
           0,            0,           2075,           9939,                      phamvanbe,            0
           0,            0,           2039,             58,                       Shawnski,            0
           0,            0,           2019,          16664,                  TrinhThuTrinh,            0
           0,            0,           2016,          16753,                  DinhHienTrang,            0
           0,            0,           2012,           2181,                quehuongvietnam,            0
           0,            0,           2003,          10526,                          honam,            0
           0,            0,           1971,           6093,                    Phamhuyluat,            0
           0,            0,           1921,          21522,                      Pritonsix,            0
           0,            0,           1827,           1519,                         redeye,            0
           0,            0,           1822,           5425,       Titanium10sEntertainment,            0
           0,            0,           1811,           1840,                     OBSESSIONS,            0
           0,            0,           1807,          15974,               ThienAnNguyenThi,            0
           0,            0,           1793,             29,                       GregWood,            0
           0,            0,           1764,           8302,                      Davidshem,            0
           0,            0,           1754,          16353,                  PhuongAnhDinh,            0
           0,            0,           1736,           3615,                        Tridung,            0
           0,            0,           1706,          15485,                     DangThaoLy,            0
           0,            0,           1705,          17291,                       AnhBella,            0
           0,            0,           1674,             67,                     ElectroPig,            0
           0,            0,           1639,           2014,                  trongquynhtdc,            0
           0,            0,           1596,           3671,                 Daydreams4rock,            0
           0,            0,           1585,           6069,                    LePhungHiep,            0
           0,            0,           1571,           9506,                    NgoMaiKhanh,            0
           0,            0,           1566,            298,                         BobbyE,            0
           0,            0,           1544,          12618,                    DuongDaThao,            0
           0,            0,           1535,           9405,                  ThaoNguyenCao,            0
           0,            0,           1524,           3498,                   NgoHuyenTran,            0
           0,            0,           1510,            450,                  MattaMadalena,            0
           0,            0,           1495,           4712,                      strongduc,            0
           0,            0,           1473,           4754,                      PhanNga85,            0
           0,            0,           1460,          12604,                     ThuyThuNgo,            0
           0,            0,           1455,          13130,                  ThanhLoanChau,            0
           0,            0,           1455,           5994,                        PhiLinh,            0
           0,            0,           1432,           4490,                     QuyenAlice,            0
           0,            0,           1430,            666,                       Roninbot,            0
           0,            0,           1419,           1691,                        duykieu,            0
           0,            0,           1407,           6235,                        Ptduy23,            0
           0,            0,           1397,             11,                  Wheelgun_Mike,            0
           0,            0,           1387,           9409,                   ThaoTranNgoc,            0
           0,            0,           1362,           1087,                     PhamHaiYen,            0
           0,            0,           1352,           4357,               LeNguyenHoangNhi,            0
           0,            0,           1340,           2534,                NonConStreamist,            0
           0,            0,           1323,           1219,           tiepvienhangkhongjob,            0
           0,            0,           1292,           5013,                  TracyThuLuong,            0
           0,            0,           1288,          11336,                    LeBaoNguyen,            0
           0,            0,           1280,           5503,                      willie350,            0
           0,            0,           1263,           5820,                    PhamNganThi,            0
           0,            0,           1262,            107,                    ReadingWren,            0
           0,            0,           1247,           7568,                    NgoNgocTien,            0
           0,            0,           1241,           1117,                      Balyhe706,            0
           0,            0,           1222,           2517,                SamueleBaracani,            0
           0,            0,           1221,          14550,                    NgoHuongMai,            0
           0,            0,           1219,           3203,                     PhamVanNhu,            0
           0,            0,           1216,           4856,              DangNguyenKimNgan,            0
           0,            0,           1213,           2096,                   Trandinhlong,            0
           0,            0,           1205,          12458,                   TraNgocQuyen,            0
           0,            0,           1204,           1013,               Gocnhintieuphong,            0
           0,            0,           1201,           2254,                Nguyenduchoan14,            0
           0,            0,           1200,          13359,                  VuongKhanhLan,            0
           0,            0,           1199,           3760,               LeNguyenThuyLinh,            0
           0,            0,           1196,           1238,                      Frazcak96,            0
           0,            0,           1194,           3795,                     TranKimThy,            0
           0,            0,           1190,          14033,                   LeThuyAnhDao,            0
           0,            0,           1190,            931,                       Tangdong,            0
           0,            0,           1188,           3672,                    TrinhThaoLy,            0
           0,            0,           1185,           3197,                 HoangKimNgocTu,            0
           0,            0,           1181,           5926,                   PhuongThaoLy,            0
           0,            0,           1180,           4001,                   LuuChauGiang,            0
           0,            0,           1180,           1603,                     zanocompat,            0
           0,            0,           1173,           1210,                 AmazingVietnam,            0
           0,            0,           1172,           1121,                    ThuongAnh93,            0
           0,            0,           1171,           3341,                     VuChiQuynh,            0
           0,            0,           1162,           3752,                     SPADEPARIS,            0
           0,            0,           1160,           2850,                    PhanNga9085,            0
           0,            0,           1154,            977,               Thanhnguyen11145,            0
           0,            0,           1151,          15694,                      VuThuThao,            0
           0,            0,           1145,            817,                 HuongGiangTran,            0
           0,            0,           1144,           3919,                      VanThuyHa,            0
           0,            0,           1143,           1635,                   Daophuong999,            0
           0,            0,           1139,            479,                     VuThuGiang,            0
           0,            0,           1128,            366,                       LyTinhAn,            0
           0,            0,           1120,            778,                     twittering,            0
           0,            0,           1118,            775,                       Michelna,            0
           0,            0,           1112,           9729,                   CaoNgocTrang,            0
           0,            0,           1110,           2120,                    BuiKimQuyen,            0
           0,            0,           1104,           1555,                        VietLam,            0
           0,            0,           1091,           4653,                fist_of_hamulon,            0
           0,            0,           1086,           1059,                     Thanhphila,            0
           0,            0,           1085,            562,                      TranYen8x,            0
           0,            0,           1081,            708,                       Sinvaris,            1
           0,            0,           1069,           3203,              SaigonTrongTimToi,            0
           0,            0,           1060,           2576,                      AnhDo1954,            0
           0,            0,           1054,           2611,                    NgoCamHuong,            0
           0,            0,           1053,          12701,                  VoKhanhKimAnh,            0
           0,            0,           1053,             97,            SovereignsWorldWide,            0
           0,            0,           1048,          11376,                   BaoMinhMaiLy,            0
           0,            0,           1048,           1342,                     arthurboy5,            0
           0,            0,           1046,           2829,                      DangLeNhu,            0
           0,            0,           1041,           1205,         The_Infidel_Nazi_Bigot,            0
           0,            0,           1034,           1751,                       LuuAnThu,            0
           0,            0,           1033,            682,                     LeHuynhNhu,            0
           0,            0,           1029,           3104,                   NgoDieuQuyen,            0
           0,            0,           1027,           1165,                     voduykhiem,            0
           0,            0,           1025,            599,                NguyenHongAnh87,            0
           0,            0,           1024,           2916,                     MacKimDung,            0
           0,            0,           1018,           1378,                 LeDuongNgocAnh,            0
           0,            0,           1018,            730,                       MariaLe9,            0
           0,            0,           1016,           1147,                        FromRio,            0
           0,            0,           1014,            679,                 NguyenLand2505,            0
           0,            0,           1012,            787,                     CooperTran,            0
           0,            0,           1008,            559,                     Chauvo1977,            0
           0,            0,           1006,            343,                      VuNhuHoai,            0
           0,            0,           1002,            827,                      smokeDawg,            0
           0,            0,           1000,           1136,                         Leelam,            0
           0,            0,            994,            329,                tampham21011983,            0
           0,            0,            984,             47,                   lunareclipse,            0
           0,            0,            983,             92,                          libby,            1
           0,            0,            977,            246,                       HoaiLe09,            0
           0,            0,            975,           3184,                         NenKha,            0
           0,            0,            973,           1236,                    Pattypoo223,            0
           0,            0,            972,           3785,                     LyNgocNhan,            0
           0,            0,            970,           1611,                Tranthihoaisinh,            0
           0,            0,            964,            963,                      Emzrrttar,            0
           0,            0,            962,            840,                     chuabentoi,            0
           0,            0,            954,           2190,                   NgoLyMinhVan,            0
           0,            0,            949,          12080,                      LaHieuHoa,            0
           0,            0,            946,            641,            aleksandarjovicic82,            0
           0,            0,            944,            480,                     HoaLanPhan,            0
           0,            0,            932,           1897,                       MoonKids,            0
           0,            0,            932,            936,                    DuongLinh97,            0
           0,            0,            932,             46,                     klinnguyen,            0
           0,            0,            931,            197,                       Lebinhhn,            0
           0,            0,            928,            569,                    HungNgo1960,            0
           0,            0,            924,            144,                NguyenMinhAnh90,            0
           0,            0,            921,           1867,                     KimPhungLe,            0
           0,            0,            919,           6847,                    NhungThuyLy,            0
           0,            0,            919,           1695,                  ChauNgocKhanh,            0
           0,            0,            918,           1054,                      PhamKathy,            0
           0,            0,            914,           1993,               Nguyencongminh49,            0
           0,            0,            913,            286,                   Hoangngo2109,            0
           0,            0,            913,             38,                      BamBoo142,            0
           0,            0,            911,           1032,                          BaoVi,            0
           0,            0,            911,            413,                   doanducthanh,            0
           0,            0,            899,          18862,                thucungmoinguoi,            0
           0,            0,            892,          11352,                 HoangLeKimHang,            0
           0,            0,            887,            504,                   DangHongHien,            0
           0,            0,            881,            862,                    LangThang60,            0
           0,            0,            881,             96,                        DustinF,            0
           0,            0,            876,             25,              ChrisRedfield6413,            0
           0,            0,            870,           1576,                  LanTrinhTrinh,            0
           0,            0,            868,           1006,                   tranminhtiet,            0
           0,            0,            864,           3933,                       HueChiLe,            0
           0,            0,            863,           2336,                     HoTrangNhu,            0
           0,            0,            862,            784,                     ToanNang68,            0
           0,            0,            862,             15,                goodtimebadgirl,            0
           0,            0,            860,           1289,                  Nguyenanhdung,            0
           0,            0,            849,            776,                        Vinnyho,            0
           0,            0,            846,            279,                    TranXuanNhi,            0
           0,            0,            843,           8058,                    MinhChauBui,            0
           0,            0,            843,           4249,                 NgoKieuAnhDung,            0
           0,            0,            843,            858,                     Phanvantho,            0
           0,            0,            837,            208,                    PhanNga8590,            0
           0,            0,            836,           1121,                     RadekWizna,            0
           0,            0,            834,           1789,                          Brebe,            0
           0,            0,            831,           1592,                  airdropodessa,            0
           0,            0,            828,            415,                     CalisLegal,            0
           0,            0,            822,           1256,                       Kbuurman,            0
           0,            0,            818,           7900,                  NgocHuongTram,            0
           0,            0,            817,             41,                        LyHaAnh,            0
           0,            0,            816,            776,                       jppagoto,            0
           0,            0,            816,             85,                  minhtuan12345,            0
           0,            0,            815,           1159,                      LeHuyTien,            0
           0,            0,            813,            152,                 americancheese,            0
           0,            0,            811,           3034,                     LeKimKhanh,            0
           0,            0,            802,           8690,                   DoHuynhTrang,            0
           0,            0,            799,            696,     truongdaotaophicongbayviet,            0
           0,            0,            798,            753,                     HoVietDung,            0
           0,            0,            798,            702,                   TheMarchHare,            0
           0,            0,            796,           1824,                     huyenthuan,            0
           0,            0,            795,            405,                      Chanhdinh,            0
           0,            0,            790,           1231,                       Arthurri,            0
           0,            0,            788,            183,                      Ledao1957,            0
           0,            0,            788,             35,                       LanChiLe,            0
           0,            0,            784,           7270,                  DuongThaiNgoc,            0
           0,            0,            784,           1184,                  dtdproduction,            0
           0,            0,            779,            840,                   QuocgiaAnNam,            0
           0,            0,            778,            801,                      AuVanBinh,            0
           0,            0,            777,           7399,                 NgoDuongPhuong,            0
           0,            0,            776,            593,                   Arch_TuanAnh,            0
           0,            0,            775,            697,                       haophong,            0
           0,            0,            770,            377,                           Zahu,            0
           0,            0,            766,            902,                     Willnguyen,            0
           0,            0,            756,            730,                  dngsngtuoinho,            0
           0,            0,            756,            489,                      AntonMinh,            0
           0,            0,            755,           2807,                   DuongThuLinh,            0
           0,            0,            752,           1346,                 LeNguyenKimAnh,            0
           0,            0,            743,           8179,                      NgoLamAnh,            0
           0,            0,            741,            876,                       Thachthi,            0
           0,            0,            739,             31,                       BuiDuyAn,            0
           0,            0,            737,             68,                     SCWhiMViNL,            0
           0,            0,            736,            770,                      npl971975,            0
           0,            0,            722,            583,                        JohnHua,            0
           0,            0,            721,            807,                       Ohnaanie,            0
           0,            0,            718,           3764,                        ducpm77,            0
           0,            0,            713,             40,                   tranphuchung,            0
           0,            0,            710,           4238,                PhanThuHuongThi,            0
           0,            0,            709,            673,                        anhdodo,            1
           0,            0,            708,            586,                        nvchung,            0
           0,            0,            706,            251,                        Azothar,            0
           0,            0,            705,            104,                      dexinhdep,            0
           0,            0,            700,            206,                     AnhPhung38,            0
           0,            0,            697,            528,                       Huuduong,            0
           0,            0,            695,           6310,                HoangKimNhaHieu,            0
           0,            0,            693,           8099,                    DangBaoNgoc,            0
           0,            0,            693,            219,                      mickythuy,            0
           0,            0,            691,            202,                     springly19,            0
           0,            0,            691,             44,                    sternaprawo,            0
           0,            0,            688,            198,                          NamVN,            0
           0,            0,            687,           5531,              BuiThiThanhPhuong,            0
           0,            0,            685,            435,                       connaito,            0
           0,            0,            683,           8053,                     MaiThuLien,            0
           0,            0,            683,             43,                       sadtigon,            0
           0,            0,            680,            387,                 Kidcolorgarden,            0
           0,            0,            680,            254,                  UnframeofMind,            0
           0,            0,            680,             55,                        Djohnoe,            0
           0,            0,            673,            920,                     DinhHuuChi,            0
           0,            0,            671,            478,                        JimmyCg,            0
           0,            0,            669,            425,                          Thodn,            0
           0,            0,            668,            696,                         cotodd,            0
           0,            0,            667,           4586,                      MacChiLan,            0
           0,            0,            666,            599,                         jeffli,            0
           0,            0,            664,            268,                  JosephBuiPhan,            0
           0,            0,            663,            449,              Toidanglangnghe14,            0
           0,            0,            662,            580,                       rocky222,            0
           0,            0,            659,             40,                minhtrietminhmo,            0
           0,            0,            658,            507,                ThanhNguyen9999,            0
           0,            0,            655,           8076,                 NguyenDoLinhVy,            0
           0,            0,            651,            694,                     CryptoTalk,            0
           0,            0,            650,            309,                  TranduyLinh87,            0
           0,            0,            649,            577,                       khoand95,            0
           0,            0,            645,            945,                  StarQuestOR69,            0
           0,            0,            643,           1167,                   propainter84,            0
           0,            0,            643,            219,                  DorianSpecter,            1
           0,            0,            637,            193,                      Lechiennw,            0
           0,            0,            636,            612,                      DangPhong,            0
           0,            0,            631,             20,                         Hungbm,            0
           0,            0,            628,            145,                  bostonmike617,            0
           0,            0,            625,           2267,                        ThuyMau,            0
           0,            0,            624,            574,                   Anhdammobile,            0
           0,            0,            624,            545,                   HuynhMinhPhu,            0
           0,            0,            624,            304,                  georgequinn73,            0
           0,            0,            622,            699,                       joepeeer,            0
           0,            0,            621,             43,                       Davenjah,            0
           0,            0,            615,            975,            YouAreTheResistance,            0
           0,            0,            613,             26,                   phamsonthach,            0
           0,            0,            611,           2557,                      CRIMEHEAT,            1
           0,            0,            609,            346,                 NguyenDucPhuoc,            0
           0,            0,            608,           1454,                      DangThiLe,            0
           0,            0,            605,            426,                        aanon80,            0
           0,            0,            603,            274,                     niktoknows,            0
           0,            0,            603,             12,                     Shadfurman,            0
           0,            0,            602,             76,                         Sanh51,            0
           0,            0,            601,           3798,                       abeldean,            0
           0,            0,            601,             84,                 dinhphugia1973,            0
           0,            0,            598,             28,             LizUyenNguyenThanh,            0
           0,            0,            595,            383,                     smAshomAsh,            0
           0,            0,            593,           2056,                    Ngocthuydt1,            0
           0,            0,            592,            335,                     PhucGiaFGG,            0
           0,            0,            591,            254,                 knowthineenemy,            0
           0,            0,            590,           2685,                       DuThuyLy,            0
           0,            0,            589,            133,                 MarkSunnyfield,            0
           0,            0,            589,             45,                         LamHan,            0
           0,            0,            586,            545,                       vtminhvt,            0
           0,            0,            586,            283,                   FeelsOttoMan,            0
           0,            0,            586,             66,                   anhmaicoem93,            0
           0,            0,            583,            208,                           Bio1,            0
           0,            0,            579,              9,                       PhamTDuc,            0
           0,            0,            577,            145,                      Atulanexi,            0
           0,            0,            574,             49,                        anhninh,            0
           0,            0,            573,            231,                      damonhong,            0
           0,            0,            573,             73,                          ANDAI,            0
           0,            0,            571,            339,                    Yeshe_Dorje,            0
           0,            0,            571,             31,                   VietQuoc1906,            0
           0,            0,            570,             36,                      Ncisxyooj,            0
           0,            0,            566,            439,                  Cuongbigtiger,            0
           0,            0,            566,            246,                        GoStArT,            0
           0,            0,            566,             63,                     PhamCoViet,            0
           0,            0,            565,            144,                      MARIOTRAN,            0
           0,            0,            565,             88,                     Streetwise,            0
           0,            0,            564,            567,                     Leopard2A4,            0
           0,            0,            563,            107,                        Annaloc,            0
           0,            0,            562,            354,                        widmark,            0
           0,            0,            562,             71,                      Oceantran,            0
           0,            0,            560,            156,                   Thanhminh712,            0
           0,            0,            560,             96,                     Hatran2018,            0
           0,            0,            558,            616,                   elmojocelery,            0
           0,            0,            552,             45,                      NamKorean,            0
           0,            0,            551,            187,                       lhdexter,            0
           0,            0,            541,             73,                     Tranhungkk,            0
           0,            0,            541,             18,                QuangHuyTran534,            0
